,CountryCode,Country,GridDemand2025,GridDemand2030
0,ao,Angola,25.628,31.139
1,bj,Benin,1.643,1.966
2,bf,Burkina faso,1.225,1.54
3,bi,Burundi,1.533,2.003
4,bw,Botswana,7.535,8.558
5,cd,Democratic Republic of Congo,13.354,16.503
6,cf,Central african republic,0.787,0.94
7,cg,Republic of Congo,2.992,3.563
8,ci,Ivory Coast,8.655,10.176
9,dj,Djibouti,0.865,0.938
10,er,Eritrea,0.305,0.448
11,et,Ethiopia,18.07,22.03
12,ga,Gabon,3.874,4.241
13,gh,Ghana,17.026,19.577
14,gm,Gambia,0.165,0.191
15,gn,Guinea,1.909,2.341
16,gq,Equatorial Guinea,1.444,1.714
17,gw,Guinea Bissau,0.122,0.144
18,ke,Kenya,16.26,19.662
19,lr,Liberia,3.37,4.006
20,ls,Lesotho,0.777,0.927
21,mg,Madagascar,4.252,5.208
22,ml,Mali,1.368,1.696
23,mr,Mauritania,0.959,1.167
24,mw,Malawi,8.409,10.851
25,mz,Mozambique,8.612,10.789
26,na,Namibia,5.259,6.426
27,ne,Niger,2.414,3.086
28,ng,Nigeria,207.78,250.812
29,ni,Nicaraqua,2.961,3.053
30,rw,Rwanda,0.498,0.581
31,sd,Sudan,17.849,21.145
32,sl,Sierra Leone,0.527,0.614
33,sn,Senegal,3.475,4.193
34,ss,South Sudan,0.128,0.174
35,sz,Kingdom of Eswatini,0.464,0.581
36,td,Chad,1.195,1.467
37,tg,Togo,3.517,4.235
38,ug,Uganda,11.513,15.127
39,za,South Africa,50.459,54.354
40,zm,Zambia,13.254,16.398
41,zw,Zimbabwe,11.338,14.059
