Country,Total annual production (GWh),Emissions (Million tonCO2eq),Grid emission factor (gCO2eq/kWh)
AGO,319608.0280334643,36.037172434018395,112.75427796902885
BDI,20545.5277942142,0.38516720688703243,18.747009604469685
BEN,60887.6944931546,7.88084574873649,129.43248737431676
BFA,51845.3333748096,12.681466952308881,244.60189812320698
BWA,86148.63895780781,48.16194916972185,559.0564140346972
CAF,8070.7222286788,1.1067088763888888,137.1263741993584
CIV,269133.3057708622,42.00260940477965,156.06618914918064
CMR,188126.58348383458,21.007749039456755,111.66815795207336
COD,283296.6113377484,6.266306268051956,22.119241873250708
COG,48519.361149926604,12.778906654271221,263.37747141360603
DJI,11233.972231209402,3.7340424768752327,332.3884375022388
DZA,1458065.6678331192,883.171831376956,605.7147156406663
EGY,4053946.8921320466,1895.2002466748334,467.4950849388439
ERI,11079.861119975001,6.332374266666667,571.521086600132
ETH,580404.5560198792,3.6822799517806684,6.3443332992281825
GAB,59136.27782508681,14.141710111111111,239.1376432743948
GHA,402366.69476633787,91.17262858221078,226.5908927555659
GIN,108503.5556423584,9.257308117398614,85.31801619397511
GMB,25524.3889093084,2.5798947800334266,101.07567273011476
GNB,4977.1111150928,1.1085912706823176,222.73789856139214
GNQ,43084.111145578405,5.430841694444444,126.0520769732021
KEN,470501.3337097344,20.516042004514617,43.60464154852225
LBR,47888.1111494216,6.020263755664448,125.71520594913173
LBY,454810.13925273705,317.09381233263724,697.2004029057691
LSO,32159.8055812834,4.14618631582684,128.92448324500657
MAR,945239.0840895246,430.14327312001546,455.06293630921857
MLI,155271.7223464396,27.900011288331527,179.6850763726411
MOZ,599198.7227015813,57.282258227022645,95.59809802123178
MRT,39716.8333651068,13.603791242130395,342.51953364645624
MWI,90416.8611834446,4.360651839029313,48.22830368090406
NAM,146023.27789459642,19.46583122139382,133.30635705524148
NER,45702.083369894994,6.328909631162695,138.48186263061461
NGA,1210398.8620794304,224.36665647187326,185.36588516484377
RWA,51605.666707951204,4.229256577795814,81.95333666998602
SDN,663771.5838643506,83.45535364805721,125.72902437642205
SEN,124529.444544068,38.67309614602535,310.553831566637
SLE,40491.7778101712,4.722122926746628,116.61930352587454
SOM,47017.05559316921,3.276448486111111,69.68638177732092
SSD,7814.388895140401,2.1579169166666667,276.14659900131517
SWZ,183869.50014709562,16.332879994189042,88.82865282780851
TCD,99828.5834131962,4.613097547222222,46.21018739821588
TGO,51571.0000412568,5.216940983007914,101.16036103302945
TUN,381397.58363845135,167.34670671823233,438.7723307572653
TZA,396899.1392064083,52.39327124290544,132.00651265624995
UGA,155615.139013381,17.953639363123255,115.3720613363939
ZAF,3344266.5026754136,1846.2972699105126,552.0783910114444
ZMB,394071.6392041462,20.661586077369993,52.43104050597864
ZWE,171044.6945812802,42.196004589193265,246.6957814300506
