Country,BU,BU_CT_high,High,High_CT_high,Low,Low_CT_high
AGO,2371.541594224437,2675.2288643543825,2014.2493326672895,2726.3008388273606,2271.83120147029,2693.662679427366
BDI,3493.74274492776,3232.04824746961,3156.227019919268,3026.8838930014267,3641.057231954656,3494.4931019457754
BEN,2750.9116392495503,2770.971874069374,2367.6183064134,2776.969291246767,2786.1676891285047,2796.831286957008
BFA,2819.587491813965,3030.940758629462,2823.9641168756957,3014.648706723514,2847.9183834284577,2912.070237227244
BWA,1521.6706973427042,1461.7959339192728,1533.079932610945,1598.9245757337444,1596.7089618725008,1939.438397350716
CAF,2231.9701248571623,2567.43894598424,2364.672390130381,2554.370430538467,2186.528635950845,2552.263132657195
CIV,2066.447930030228,2667.936819231356,2004.046895422925,2667.0848992825763,2090.05543441346,2660.4845285952174
CMR,911.075851498962,2726.968108137952,913.3212096109976,2726.0753985348338,982.3576297984418,2671.024171502043
COD,2217.316720690126,2822.9242177409437,2174.0653732015785,2843.428015814458,2208.7523921636584,2829.3689091773194
COG,1210.9831464737172,2802.9797649011075,1194.4122212705583,2823.39805317942,1355.877444476457,2851.262422506218
DJI,4129.0839936,2927.7253283531,3672.7384477060377,3189.879022686217,4129.0839936,4129.0839936
DZA,2011.197797452082,2041.3304493241271,2011.1977974520823,2041.3304493241271,2647.6513925231397,2739.617149489601
EGY,2202.353390316942,2307.002344434974,2201.544706082379,2307.0044693347827,2201.523487615382,2307.0044693347827
ERI,3102.5203407523227,3157.2817723183944,3114.20183462558,3087.372588616203,2731.0157364067663,2737.413666294391
ETH,2996.5244100031723,2996.543480055652,2782.6746309066857,2847.8713948401096,2996.5244100031723,2996.543480055652
GAB,2328.361621497902,2625.0917823791024,2352.2084092442315,2615.307693995988,2337.217313635574,2621.264942931636
GHA,2360.417746630708,2585.2032045575456,2247.487553765659,2568.2671845258315,2413.5911233993984,2560.911624258172
GIN,2817.0911367369963,2839.8235097576926,2819.211208744371,2838.582849698841,2812.1702568274704,2831.462701418799
GMB,2835.2949081586708,2853.7838711672757,2822.73426340294,2853.7838711672744,2800.5993177280907,2853.3689946173818
GNB,2878.430598306488,2925.1795547302704,2887.5618833187395,2909.731512118515,2852.696757781753,2983.690758630396
GNQ,1472.3916731349489,1543.4841543585446,1460.4794447908057,1510.043000493929,1402.4054407586725,1531.3246920552542
KEN,2985.8570068936124,2900.2725400531667,3056.6221274402865,2780.518403792116,2609.992291762449,2510.59777323718
LBR,2772.5444879344345,2818.637892776807,2771.137722942346,2820.2482147471765,2683.661259857797,2824.4694839487315
LBY,1765.6596205558662,2017.87040677205,1773.9980615512295,2017.8704067720496,1837.2585409258336,1909.8969767881213
LSO,1561.9489363863245,1760.126625803429,1639.729874897174,1712.7380947133302,1646.065882550848,1969.3859603125532
MAR,2139.3234393353005,1954.7467368631935,2139.3234393353005,1954.7467368631933,2802.348842324727,2482.338853855031
MLI,2446.792888787702,2230.8541437398003,2398.1055949704537,2210.7067302455253,2278.339096178671,2308.64440091164
MOZ,881.7984,2723.938350876402,1190.8960788503698,2737.202056665072,881.7984000000001,2721.230136546436
MRT,1858.8170505188089,2633.385473301335,1869.5348137200983,2658.9521419716693,1856.7811444467447,2645.406571428716
MWI,1694.5660772046858,2280.7328070345807,1694.5685074495232,2207.9948810311244,1965.0899130139185,2481.959570488602
NAM,1452.9108203982069,1917.9742867362063,1501.8128128230717,1917.2369956882949,1947.39968033578,2332.031259322839
NER,2170.121299594956,2311.7631955425877,2202.283149764796,1790.2502386804642,2205.9213265241856,2462.2102979907218
NGA,2014.0178068063008,2571.9291974937387,1981.583200215966,2560.618020569485,2031.9120151601453,2546.741841330268
RWA,2111.30001973587,3318.840767377767,1960.1934520171253,3282.380511027143,3622.144981959913,3525.687061870964
SDN,1493.176618843413,2494.725965204986,1648.8400132449824,2500.96941095226,1419.771033651261,2490.077878633835
SEN,2481.7111483430267,2608.888329034471,2487.76240873722,2595.1496962055203,2509.093572639192,2571.926747522112
SLE,2742.967340382349,2767.178076391257,2740.0124929178223,2752.745030403016,2653.305981467205,2773.458120710818
SOM,1830.724802916373,2247.981540385994,1830.724802916373,2247.981540385994,1912.947541516222,2218.926848495071
SSD,2318.380728548197,2739.010504052894,2414.704783038071,2778.633661124208,2274.5741996816005,2721.672049719446
SWZ,1975.394727560362,2363.120327602948,1973.827325171985,2435.8901704923,2068.383877355801,2543.6991351507027
TCD,1306.2283779668692,1538.7975250651891,1310.6975536136722,1530.975199448884,1439.8303827212176,1455.628977058722
TGO,2248.624463549784,1886.3650323265924,2135.865458325153,1887.3254612595968,2275.7457555028464,2175.523427496046
TUN,1923.255333780372,1991.044651260434,1923.255333780371,1991.0446512604349,1937.705088119048,2107.4533191686755
TZA,2505.597133365489,2466.970412573689,2462.2476575392443,2493.940691484486,2741.590726402359,2687.6023651468017
UGA,2316.545164348402,2886.903381496792,1572.695867854021,1752.8389652820297,2358.764969296221,3952.489095730981
ZAF,2039.205676946981,2541.880862032825,2058.057283074754,2549.4558709457306,2003.016271901021,2531.1716231551136
ZMB,2195.4129611828434,2622.6064833562614,2133.184369715727,2637.843604369609,2194.300431022225,2624.28090076586
ZWE,2176.7823360000007,2619.732229953488,2176.782336,2279.960384034141,2176.782336,2279.960384034141
